District_code,District_name,Learning_Modality,Operational_Schools,Student_Count,City,State,ZIP_Code
507990,HOXIE SCHOOL DISTRICT,In Person,2,859,HOXIE,AR,72433
508040,WEST MEMPHIS SCHOOL DISTRICT,In Person,10,5304,WEST MEMPHIS,AR,72301
508130,HUNTSVILLE SCHOOL DISTRICT,In Person,6,2304,HUNTSVILLE,AR,72740
508240,JASPER SCHOOL DISTRICT,In Person,6,891,JASPER,AR,72641
508280,JONESBORO SCHOOL DISTRICT,In Person,11,6719,JONESBORO,AR,72401
508400,RIVERVIEW SCHOOL DISTRICT,In Person,4,1232,SEARCY,AR,72143
508610,LAKE HAMILTON SCHOOL DISTRICT,In Person,6,4467,PEARCY,AR,71964
508670,LAKESIDE SCHOOL DISTRICT,In Person,4,3570,HOT SPRINGS,AR,71901
508700,LAMAR SCHOOL DISTRICT,In Person,3,1396,LAMAR,AR,72846
509000,LITTLE ROCK SCHOOL DISTRICT,In Person,43,23237,LITTLE ROCK,AR,72201
509060,LONOKE SCHOOL DISTRICT,In Person,4,1725,LONOKE,AR,72086
509150,MAGAZINE SCHOOL DISTRICT,In Person,2,590,MAGAZINE,AR,72943
509190,MAGNET COVE SCHOOL DIST.,In Person,2,753,MALVERN,AR,72104
509240,MALVERN SCHOOL DISTRICT,In Person,4,2009,MALVERN,AR,72104
509270,MAMMOTH SPRING SCHOOL DISTRICT,In Person,2,520,MAMMOTH SPRING,AR,72554
509330,MANSFIELD SCHOOL DISTRICT,In Person,3,757,MANSFIELD,AR,72944
509360,LEE COUNTY SCHOOL DISTRICT,In Person,2,644,MARIANNA,AR,72360
600035,Farmersville Unified,In Person,6,2530,Farmersville,CA,93223
600036,Natomas Unified,In Person,18,13767,Sacramento,CA,95834
600037,Ferndale Unified,In Person,2,455,Ferndale,CA,95536
600039,Delhi Unified,In Person,5,2580,Delhi,CA,95315
600040,Riverdale Joint Unified,In Person,4,1559,Riverdale,CA,93656
600042,Warner Unified,In Person,3,204,Warner Springs,CA,92086
600043,Scotts Valley Unified,In Person,4,2445,Scotts Valley,CA,95066
600044,Healdsburg Unified,In Person,4,1414,Healdsburg,CA,95448
600045,Orland Joint Unified,In Person,6,2231,Orland,CA,95963
600046,Gonzales Unified,In Person,3,2344,Gonzales,CA,93926
600047,Tracy Joint Unified,In Person,20,14548,Tracy,CA,95376
600048,Paso Robles Joint Unified,In Person,12,6869,Paso Robles,CA,93446
600049,Coast Unified,In Person,4,582,Cambria,CA,93428
600051,Gridley Unified,In Person,5,2087,Gridley,CA,95948
600052,Eureka City Schools,In Person,8,3674,Eureka,CA,95501
600060,Hughson Unified,In Person,6,2095,Hughson,CA,95326
600061,Riverbank Unified,In Person,6,3012,Riverbank,CA,95367
600062,Oakdale Joint Unified,In Person,9,5420,Oakdale,CA,95361
600063,Waterford Unified,In Person,5,1808,Waterford,CA,95386
600064,Porterville Unified,In Person,22,14514,Porterville,CA,93257
601896,Albert Einstein Academy Charter Middle District,In Person,1,600,San Diego,CA,92102
601902,El Camino Real Charter High District,In Person,1,3523,Woodland Hills,CA,91367
601932,Latino College Preparatory Academy District,In Person,1,433,San Jose,CA,95127
601940,Grossmont Secondary District,In Person,1,317,El Cajon,CA,92020
601950,Alisal Union,In Person,12,8524,Salinas,CA,93905
601963,Venture Academy District,In Person,1,1541,Stockton,CA,95206
601970,Taylion High Desert Academy/Adelanto District,In Person,1,170,Adelanto,CA,92301
601977,Knowledge Enlightens You (KEY) Academy District,In Person,1,589,Hayward,CA,94541
601978,Stone Bridge District,In Person,1,272,Napa,CA,94558
601980,Allensworth Elementary,In Person,1,82,Allensworth,CA,93219
602002,Old Town Academy K-8 Charter District,In Person,1,265,San Diego,CA,92110
602010,Alpaugh Unified,In Person,3,336,Alpaugh,CA,93201
602026,Summit Public School: Tamalpais District,In Person,1,446,Richmond,CA,94806
602035,Pacific Springs Charter District,In Person,1,509,Chula Vista,CA,91913
602038,Luis Valdez Leadership Academy District,In Person,1,346,San Jose,CA,95122
602045,STEM Preparatory Elementary District,In Person,1,244,Los Angeles,CA,90007
602049,High Tech Elementary Mesa District,In Person,1,212,San Diego,CA,92111
602056,KIPP Philosophers Academy District,In Person,1,238,Los Angeles,CA,90001
602070,Alpine County Unified,In Person,3,70,Markleeville,CA,96120
602072,Alder Grove Charter School 2 District,In Person,1,449,Eureka,CA,95501
604440,Bellflower Unified,In Person,15,11405,Bellflower,CA,90706
604500,Belleview Elementary,In Person,2,177,Sonora,CA,95370
604530,Belmont-Redwood Shores Elementary,In Person,7,4314,Belmont,CA,94002
604620,Benicia Unified,In Person,8,4642,Benicia,CA,94510
604740,Berkeley Unified,In Person,17,9844,Berkeley,CA,94702
604800,Berryessa Union Elementary,In Person,14,6842,San Jose,CA,95132
604830,Beverly Hills Unified,In Person,6,3572,Beverly Hills,CA,90212
604950,Big Pine Unified,In Person,2,150,Big Pine,CA,93513
604980,Big Springs Union Elementary,In Person,1,175,Montague,CA,96064
605010,Big Valley Joint Unified,In Person,2,111,Bieber,CA,96009
605040,Biggs Unified,In Person,3,605,Biggs,CA,95917
605220,Black Butte Union Elementary,In Person,2,227,Shingletown,CA,96088
605240,Black Oak Mine Unified,In Person,6,1286,Georgetown,CA,95634
605250,Blake Elementary,In Person,1,16,Woody,CA,93287
605400,Blue Lake Union Elementary,In Person,1,164,Blue Lake,CA,95525
605490,Bogus Elementary,In Person,1,19,Montague,CA,96064
605580,Santa Maria-Bonita,In Person,21,16959,Santa Maria,CA,93454
605610,Bonita Unified,In Person,15,10039,San Dimas,CA,91773
605700,Borrego Springs Unified,In Person,3,373,Borrego Springs,CA,92004
605730,Bradley Union Elementary,In Person,1,70,Bradley,CA,93426
610260,Culver City Unified,In Person,9,7106,Culver City,CA,90232
610290,Cupertino Union,In Person,25,16718,Sunnyvale,CA,94087
610350,Cutler-Orosi Joint Unified,In Person,8,4123,Orosi,CA,93647
610380,Cutten Elementary,In Person,2,639,Eureka,CA,95503
610440,Cypress Elementary,In Person,6,3813,Cypress,CA,90630
610620,Davis Joint Unified,In Person,17,8546,Davis,CA,95616
610740,Del Mar Union Elementary,In Person,8,4132,San Diego,CA,92130
610770,Del Norte County Unified,In Person,11,3706,Crescent City,CA,95531
610860,Delano Joint Union High,In Person,4,4263,Delano,CA,93215
610890,Delano Union Elementary,In Person,12,6687,Delano,CA,93215
611040,Denair Unified,In Person,5,1315,Denair,CA,95316
611100,Desert Center Unified,In Person,1,28,Desert Center,CA,92239
611110,Desert Sands Unified,In Person,34,27963,La Quinta,CA,92253
611220,Miller Creek Elementary,In Person,4,2024,San Rafael,CA,94903
611280,Dixon Unified,In Person,7,3081,Dixon,CA,95620
611460,Downey Unified,In Person,21,22101,Downey,CA,90241
611490,Dry Creek Joint Elementary,In Person,10,6681,Roseville,CA,95747
611520,Duarte Unified,In Person,7,3433,Duarte,CA,91010
611610,Dunham Elementary,In Person,2,168,Petaluma,CA,94952
611670,Dunsmuir Elementary,In Person,1,93,Dunsmuir,CA,96025
616620,Harmony Union Elementary,In Person,2,227,Occidental,CA,95465
616650,Hart-Ransom Union Elementary,In Person,2,1207,Modesto,CA,95358
616680,Hawthorne,In Person,11,7924,Hawthorne,CA,90250
616740,Hayward Unified,In Person,32,19802,Hayward,CA,94544
616830,Heber Elementary,In Person,2,1268,Heber,CA,92249
616860,Helendale Elementary,In Person,4,1113,Helendale,CA,92342
616920,Hemet Unified,In Person,27,22303,Hemet,CA,92545
617040,Hermosa Beach City Elementary,In Person,2,1351,Hermosa Beach,CA,90254
617160,Hickman Community Charter,In Person,3,1041,Hickman,CA,95323
617220,Hilmar Unified,In Person,6,2429,Hilmar,CA,95324
617340,Hollister,In Person,10,5612,Hollister,CA,95023
617430,Holtville Unified,In Person,6,1573,Holtville,CA,92250
617490,Hope Elementary,In Person,3,932,Santa Barbara,CA,93110
617520,Hope Elementary,In Person,1,233,Porterville,CA,93257
617580,Horicon Elementary,In Person,1,62,Annapolis,CA,95412
617640,Hot Springs Elementary,In Person,1,24,California Hot Springs,CA,93207
617760,Howell Mountain Elementary,In Person,1,99,Angwin,CA,94508
617850,Hueneme Elementary,In Person,11,7946,Port Hueneme,CA,93041
617880,Hughes-Elizabeth Lakes Union Elementary,In Person,1,179,Lake Hughes,CA,93532
618030,Huntington Beach City Elementary,In Person,8,6456,Huntington Beach,CA,92646
622500,Long Beach Unified,In Person,84,71712,Long Beach,CA,90810
622560,Loomis Union Elementary,In Person,7,3011,Loomis,CA,95650
622590,Los Alamitos Unified,In Person,9,9697,Los Alamitos,CA,90720
622650,Los Altos Elementary,In Person,11,3999,Los Altos,CA,94024
622710,Los Angeles Unified,In Person,782,483234,Los Angeles,CA,90017
622740,Los Banos Unified,In Person,17,11084,Los Banos,CA,93635
622800,Los Gatos-Saratoga Union High,In Person,2,3542,Los Gatos,CA,95030
622830,Los Gatos Union Elementary,In Person,5,2978,Los Gatos,CA,95032
622950,Lost Hills Union Elementary,In Person,2,287,Lost Hills,CA,93249
623010,Lowell Joint,In Person,6,3147,Whittier,CA,90603
623080,Lucia Mar Unified,In Person,19,10265,Arroyo Grande,CA,93420
623160,Lynwood Unified,In Person,19,13245,Lynwood,CA,90262
623340,Madera Unified,In Person,28,20119,Madera,CA,93637
623430,Magnolia Elementary,In Person,9,5678,Anaheim,CA,92804
623460,Magnolia Union Elementary,In Person,1,131,Brawley,CA,92227
623530,Mammoth Unified,In Person,4,1189,Mammoth Lakes,CA,93546
623610,Manteca Unified,In Person,29,23834,Manteca,CA,95337
623700,Manzanita Elementary,In Person,1,296,Gridley,CA,95948
623730,Maple Creek Elementary,In Person,1,9,Korbel,CA,95550
623800,Marcum-Illinois Union Elementary,In Person,1,185,East Nicolaus,CA,95659
628050,Oakland Unified,In Person,85,36154,Oakland,CA,94607
628080,Oakley Union Elementary,In Person,9,5194,Oakley,CA,94561
628140,Ocean View,In Person,14,7721,Huntington Beach,CA,92647
628170,Ocean View,In Person,5,2452,Oxnard,CA,93033
628250,Oceanside Unified,In Person,24,17223,Oceanside,CA,92058
628270,Ojai Unified,In Person,9,2366,Ojai,CA,93023
628470,Ontario-Montclair,In Person,32,20147,Ontario,CA,91762
628530,Orange Center,In Person,1,336,Fresno,CA,93706
628650,Orange Unified,In Person,41,26265,Orange,CA,92867
628680,Orchard Elementary,In Person,1,853,San Jose,CA,95131
628710,Orcutt Union Elementary,In Person,9,5082,Orcutt,CA,93455
628830,Orick Elementary,In Person,1,15,Orick,CA,95555
628860,Orinda Union Elementary,In Person,5,2568,Orinda,CA,94563
628950,Oro Grande,In Person,2,2549,Oro Grande,CA,92368
629100,Oroville City Elementary,In Person,7,2381,Oroville,CA,95966
629130,Oroville Union High,Hybrid,4,2237,Oroville,CA,95966
629190,Owens Valley Unified,In Person,2,83,Independence,CA,93526
629220,Oxnard,In Person,21,15730,Oxnard,CA,93030
629270,Oxnard Union High,In Person,10,16839,Oxnard,CA,93030
629280,Pacheco Union Elementary,In Person,2,651,Redding,CA,96002
633900,Salida Union Elementary,In Person,6,2362,Salida,CA,95368
633930,Salinas City Elementary,In Person,14,8566,Salinas,CA,93901
633980,Salinas Union High,In Person,12,16257,Salinas,CA,93901
634080,San Ardo Union Elementary,In Person,1,114,San Ardo,CA,93450
634140,San Benito High,In Person,2,3188,Hollister,CA,95023
634170,San Bernardino City Unified,In Person,75,48755,San Bernardino,CA,92410
634230,San Bruno Park Elementary,In Person,6,2454,San Bruno,CA,94066
634290,San Carlos Elementary,In Person,9,3021,San Carlos,CA,94070
634320,San Diego Unified,In Person,176,102270,San Diego,CA,92103
634380,San Dieguito Union High,In Person,10,13177,Encinitas,CA,92024
634410,San Francisco Unified,In Person,114,52811,San Francisco,CA,94102
634425,San Gabriel Unified,In Person,8,4947,San Gabriel,CA,91776
634440,San Jacinto Unified,In Person,14,10142,San Jacinto,CA,92583
634590,San Jose Unified,In Person,42,28830,San Jose,CA,95126
634620,San Juan Unified,In Person,68,39740,Carmichael,CA,95608
634680,San Leandro Unified,In Person,12,9067,San Leandro,CA,94577
634710,San Lorenzo Unified,In Person,17,9806,San Lorenzo,CA,94580
634740,San Lorenzo Valley Unified,In Person,6,2585,Ben Lomond,CA,95005
634770,San Lucas Union Elementary,In Person,1,75,San Lucas,CA,93954
634800,San Luis Coastal Unified,In Person,16,7638,San Luis Obispo,CA,93401
638670,Sylvan Union Elementary,In Person,13,8203,Modesto,CA,95350
638730,Taft Union High,In Person,2,1047,Taft,CA,93268
638770,Tahoe-Truckee Unified,In Person,11,3981,Truckee,CA,96161
638880,Tehachapi Unified,In Person,6,4236,Tehachapi,CA,93561
638980,Temple City Unified,In Person,8,5617,Temple City,CA,91780
639000,Templeton Unified,In Person,7,2424,Templeton,CA,93465
639060,Terra Bella Union Elementary,In Person,2,831,Terra Bella,CA,93270
639180,Thermalito Union Elementary,In Person,5,1550,Oroville,CA,95965
639210,Three Rivers Union Elementary,In Person,1,133,Three Rivers,CA,93271
639420,Torrance Unified,In Person,32,23100,Torrance,CA,90501
639630,Travis Unified,In Person,10,5455,Fairfield,CA,94533
639690,Tres Pinos Union Elementary,In Person,1,91,Tres Pinos,CA,95075
639720,Trinidad Union Elementary,In Person,1,200,Trinidad,CA,95570
639750,Trinity Center Elementary,In Person,1,17,Trinity Center,CA,96091
639840,Trona Joint Unified,In Person,2,264,Trona,CA,93562
639870,Tulare City,In Person,17,9595,Tulare,CA,93274
639930,Tulare Joint Union High,In Person,7,5686,Tulare,CA,93274
639940,Tulelake Basin Joint Unified,In Person,3,404,Tulelake,CA,96134
640150,Tustin Unified,In Person,28,23521,Tustin,CA,92780
640260,Two Rock Union,In Person,1,164,Petaluma,CA,94952
691134,Golden Plains Unified,In Person,6,1611,San Joaquin,CA,93660
691135,Val Verde Unified,In Person,23,19940,Perris,CA,92571
691136,Aromas - San Juan Unified,In Person,3,1028,San Juan Bautista,CA,95045
800001,Cheyenne County School District No. Re-5,In Person,2,197,CHEYENNE WELLS,CO,80810
800016,Yuma 1 School District,In Person,4,903,YUMA,CO,80759
800017,Wray RD-2 School District,In Person,2,759,WRAY,CO,80758
800018,Idalia RJ-3 School District,In Person,2,200,IDALIA,CO,80735
800019,Liberty J-4 School District,In Person,1,68,JOES,CO,80822
801920,Academy School District No. 20 in the county of El Paso an,In Person,40,26603,COLORADO SPRINGS,CO,80920
801950,School District N. 14 in the county of Adams & State of Colo,In Person,13,6610,COMMERCE CITY,CO,80022
801980,Agate School District No. 300,In Person,2,44,AGATE,CO,80101
802070,Alamosa School District No. Re-11J,In Person,5,2298,ALAMOSA,CO,81101
802190,Archuleta County School District No. 50 Jt,In Person,5,1742,PAGOSA SPRINGS,CO,81147
802220,Arickaree School District No. R-2,In Person,2,114,ANTON,CO,80801
802260,Arriba-Flagler Consolidated School District No. 20,In Person,1,152,FLAGLER,CO,80815
802280,Aspen School District No. 1 in the county of Pitkin and Sta,In Person,5,1653,ASPEN,CO,81611
802310,Weld County School District No. Re-9,In Person,3,943,AULT,CO,80610
802340,Aurora Joint District No. 28 of the counties of Adams and A,In Person,64,40088,AURORA,CO,80011
802370,Platte Canyon School District No. 1 of the county of Park,In Person,3,889,BAILEY,CO,80421
802400,Bayfield School District No. 10Jt-R,In Person,4,1363,BAYFIELD,CO,81122
805700,Moffat School District No. 2 in the county of Saguache and,In Person,2,227,MOFFAT,CO,81143
805730,Moffat County School District RE: No. 1,In Person,7,2202,CRAIG,CO,81625
805760,Monte Vista School District No. C-8,In Person,6,1168,MONTE VISTA,CO,81144
805790,Montrose County School District Re-1J,In Person,14,6215,MONTROSE,CO,81401
805820,Lewis-Palmer Consolidated School District No. 38 in the co,In Person,10,6756,MONUMENT,CO,80132
805850,West End School District No. Re-2,In Person,4,272,NUCLA,CO,81424
806000,Revere School District,In Person,2,139,OVID,CO,80744
806030,School District No. Re-5 Plateau,In Person,2,165,PEETZ,CO,80747
806090,Pritchett School District No. Re-3,In Person,3,60,PRITCHETT,CO,81064
806120,Pueblo School District No. 60 in the county of Pueblo and,In Person,35,16065,PUEBLO,CO,81003
806150,Pueblo County School District 70,In Person,26,10555,PUEBLO,CO,81001
806180,Rangely School District RE4,In Person,2,518,RANGELY,CO,81648
806240,Garfield School District No. Re-2,In Person,10,4802,RIFLE,CO,81650
